Time,Rain,forecast
1930-01-01,10.8,18.458146015034135
1930-02-01,10.8,31.340430446872542
1930-03-01,39.0,38.895359007507544
1930-04-01,102.7,104.81522469752305
1930-05-01,404.9,195.16476074280698
1930-06-01,633.1,708.1319271719312
1930-07-01,401.7,702.4233077908384
1930-08-01,273.4,408.10310021339797
1930-09-01,411.5,236.25557949102802
1930-10-01,433.9,323.75668705164014
1930-11-01,207.0,172.1680272548547
1930-12-01,89.2,29.697772844954414
1931-01-01,3.3,17.3326139533914
1931-02-01,0.3,12.161219144330689
1931-03-01,19.2,24.265950855154358
1931-04-01,126.9,107.34929247326593
1931-05-01,131.7,236.0549193825154
1931-06-01,541.7,726.9786947074126
1931-07-01,653.9,735.7574487829826
1931-08-01,1199.2,382.0262031979135
1931-09-01,163.2,271.8752823193514
1931-10-01,149.3,306.2933523352435
1931-11-01,164.3,157.42109870910667
1931-12-01,106.5,55.97765899208249
1932-01-01,0.1,31.114789640293907
1932-02-01,19.3,2.4052065250549948
1932-03-01,28.6,45.1872867139006
1932-04-01,113.0,123.73113996054045
1932-05-01,646.5,203.85831031297602
1932-06-01,341.0,694.4418140534563
1932-07-01,716.4,689.7795331077305
1932-08-01,423.2,488.90192070064245
1932-09-01,317.3,248.32370553955593
1932-10-01,543.2,309.0559043245663
1932-11-01,223.2,185.42199946124163
1932-12-01,31.3,58.69889802416156
1933-01-01,1.0,11.595680652211538
1933-02-01,9.3,4.903553284990144
1933-03-01,36.9,37.20892892225535
1933-04-01,139.5,100.30620108297781
1933-05-01,738.8,260.5057277381931
1933-06-01,859.3,686.9602416878417
1933-07-01,773.4,774.2064967791842
1933-08-01,479.5,460.35408057245803
1933-09-01,469.7,250.47009526290566
1933-10-01,397.0,331.109099990625
1933-11-01,126.1,190.80945154290836
1933-12-01,42.3,48.12188854923026
1934-01-01,74.5,32.096000764530906
1934-02-01,1.7,25.352155032950115
1934-03-01,47.7,35.90087204482009
1934-04-01,92.4,99.67331457402801
1934-05-01,106.7,306.6404588075228
1934-06-01,852.9,691.6994197573364
1934-07-01,415.0,764.9855005346528
1934-08-01,337.2,461.83583501591653
1934-09-01,48.4,260.9661972036354
1934-10-01,335.9,322.0450925961045
1934-11-01,93.4,191.16397840252188
1934-12-01,4.9,39.438005535833504
1935-01-01,23.9,15.101961896797405
1935-02-01,8.3,9.741661063044004
1935-03-01,18.1,24.539084786877666
1935-04-01,120.7,83.28372552198596
1935-05-01,56.6,239.55821170525755
1935-06-01,431.3,701.6572219369403
1935-07-01,687.3,731.7918342100063
1935-08-01,280.9,464.479757043196
1935-09-01,283.3,235.18744284597705
1935-10-01,403.8,304.86215640352816
1935-11-01,153.0,170.86574612199826
1935-12-01,30.9,29.491094682879783
1936-01-01,1.2,5.629072125043603
1936-02-01,16.5,7.2992881607606765
1936-03-01,116.0,34.178214914263094
1936-04-01,34.0,97.88539438820642
1936-05-01,466.5,212.13291719078566
1936-06-01,620.8,714.9853430367747
1936-07-01,672.1,769.0173331332625
1936-08-01,367.9,389.6784343051637
1936-09-01,286.7,245.94966554283
1936-10-01,231.7,315.308111186799
1936-11-01,211.1,167.7018302809454
1936-12-01,18.6,35.919990808157166
1937-01-01,6.5,26.46903099429424
1937-02-01,21.2,10.01989205899169
1937-03-01,58.7,41.006611024953685
1937-04-01,175.5,90.26435474630397
1937-05-01,137.1,222.67731155283383
1937-06-01,485.6,686.251485211815
1937-07-01,970.5,722.4775644311882
1937-08-01,281.2,408.8981350439456
1937-09-01,139.8,243.86048323726916
1937-10-01,401.9,286.7062705197632
1937-11-01,121.0,186.20927255615658
1937-12-01,19.1,43.86204762480577
1938-01-01,0.3,3.9055999089758133
1938-02-01,79.0,16.416651031522886
1938-03-01,53.3,52.312403463946666
1938-04-01,164.5,97.132277547856
1938-05-01,179.6,180.36352111933562
1938-06-01,681.6,690.5490831864562
1938-07-01,648.6,782.554172408418
1938-08-01,287.9,430.7814980367236
1938-09-01,223.2,223.01412058349217
1938-10-01,223.7,294.04800416410774
1938-11-01,69.5,176.50960328359784
1938-12-01,22.9,35.43080376872415
1939-01-01,13.6,13.904446606904195
1939-02-01,3.6,22.99086139182375
1939-03-01,24.9,34.13216409605476
1939-04-01,172.8,99.46636505211461
1939-05-01,105.1,218.12767439771505
1939-06-01,625.8,660.009725395711
1939-07-01,749.6,750.7431505821713
1939-08-01,459.9,398.77227486838365
1939-09-01,134.1,241.9264442365689
1939-10-01,339.8,297.29435464929327
1939-11-01,298.1,172.18482914382173
1939-12-01,10.2,45.766282665966266
1940-01-01,0.6,5.971826915233147
1940-02-01,1.5,12.038966917928407
1940-03-01,3.8,42.96313534607146
1940-04-01,126.5,115.74727129063932
1940-05-01,217.4,211.83249933770298
1940-06-01,606.4,699.3846240001465
1940-07-01,877.3,768.435348026479
1940-08-01,610.8,469.5235421356709
1940-09-01,68.2,238.57391150285653
1940-10-01,257.7,275.8608825702844
1940-11-01,287.5,177.17336284166979
1940-12-01,60.1,54.750149959799934
1941-01-01,15.9,15.469240940390593
1941-02-01,4.6,8.473139173409445
1941-03-01,12.7,39.40876142347442
1941-04-01,101.9,112.86801895669822
1941-05-01,417.5,213.06598670802356
1941-06-01,797.6,689.3020391427518
1941-07-01,517.9,758.7600363633817
1941-08-01,458.5,447.7849925075118
1941-09-01,257.9,210.98866740940576
1941-10-01,221.6,315.954219567732
1941-11-01,220.5,190.24860084868504
1941-12-01,84.6,41.484529503407785
1942-01-01,2.4,26.633968119778118
1942-02-01,4.7,10.27144880792111
1942-03-01,23.2,19.764732104039958
